model name, concrete_15_0.4-55020.cdb
scale, 1.0
number of nodes, 250935
solver time (s), 4085.8115
processing time (s), 81.5628
total time (s), 4167.3744
time step (s), 10
output step size (s), 100
duration (s), 14400.0
boundary type, convection
Time(s),Conv(W/m2*K),T_input(C),T_avg(C),T_inner(C),T_outer(C)
7900.0000,33.8388,276.7756, 152.0465, 173.9837, 144.1489
8000.0000,34.0966,281.9321, 152.4434, 174.7963, 144.4947
8100.0000,34.3250,286.5007, 152.8651, 175.6933, 144.8422
8200.0000,34.5010,290.0191, 153.3071, 176.7147, 145.1893
8300.0000,34.5357,290.7141, 153.7509, 177.6762, 145.5306
8400.0000,34.4007,288.0146, 154.1857, 178.3143, 145.8730
8500.0000,34.3243,286.4857, 154.5996, 178.7386, 146.2167
8600.0000,34.5022,290.0449, 155.0116, 179.3062, 146.5624
8700.0000,34.5750,291.5000, 155.4383, 180.0054, 146.9107
8800.0000,34.4893,289.7853, 155.8578, 180.4944, 147.2620
8900.0000,34.4574,289.1476, 156.2670, 180.9139, 147.6166
9000.0000,34.5427,290.8533, 156.6708, 181.3557, 147.9744
9100.0000,34.9333,298.6655, 157.0989, 182.1946, 148.3356
9200.0000,35.2738,305.4758, 157.5695, 183.3509, 148.6999
9300.0000,35.4658,309.3154, 158.0701, 184.5414, 149.0672
9400.0000,35.6257,312.5138, 158.5843, 185.6550, 149.4373
9500.0000,35.7546,315.0916, 159.1120, 186.7718, 149.8102
9600.0000,35.6672,313.3438, 159.6354, 187.6355, 150.1864
9700.0000,35.5442,310.8846, 160.1360, 188.2137, 150.5664
9800.0000,35.3296,306.5912, 160.6099, 188.5576, 150.9510
9900.0000,35.0668,301.3365, 161.0468, 188.6184, 151.3407
10000.0000,34.9141,298.2830, 161.4514, 188.5782, 151.7359
10100.0000,34.9977,299.9544, 161.8466, 188.7230, 152.1367
10200.0000,35.2830,305.6607, 162.2613, 189.2476, 152.5427
10300.0000,35.5780,311.5605, 162.7129, 190.1131, 152.9530
10400.0000,35.6449,312.8971, 163.1861, 190.9487, 153.3667
10500.0000,35.6731,313.4626, 163.6618, 191.6612, 153.7827
10600.0000,35.7790,315.5809, 164.1390, 192.3641, 154.2004
10700.0000,36.0783,321.5665, 164.6363, 193.3151, 154.6195
10800.0000,36.1860,323.7204, 165.1587, 194.3448, 155.0400
10900.0000,35.9880,319.7609, 165.6707, 194.9923, 155.4623
11000.0000,35.7983,315.9652, 166.1501, 195.3032, 155.8867
11100.0000,35.7034,314.0677, 166.6068, 195.5485, 156.3135
11200.0000,35.4560,309.1200, 167.0381, 195.5943, 156.7432
11300.0000,35.3120,306.2405, 167.4400, 195.5209, 157.1761
11400.0000,35.4615,309.2293, 167.8389, 195.7060, 157.6121
11500.0000,35.5448,310.8955, 168.2548, 196.1164, 158.0507
11600.0000,35.3330,306.6604, 168.6636, 196.2950, 158.4913
11700.0000,35.1913,303.8269, 169.0485, 196.2914, 158.9330
11800.0000,35.0067,300.1344, 169.4158, 196.2189, 159.3750
11900.0000,34.6188,292.3766, 169.7490, 195.8351, 159.8167
12000.0000,34.5416,290.8311, 170.0494, 195.4178, 160.2575
12100.0000,34.8949,297.8971, 170.3696, 195.5860, 160.6969
12200.0000,34.8875,297.7506, 170.7186, 195.9064, 161.1344
12300.0000,34.5735,291.4700, 171.0517, 195.8407, 161.5690
12400.0000,34.4049,288.0988, 171.3551, 195.5865, 162.0001
12500.0000,34.4462,288.9242, 171.6520, 195.4982, 162.4270
12600.0000,34.4375,288.7496, 171.9546, 195.5289, 162.8495
12700.0000,34.4146,288.2919, 172.2582, 195.5757, 163.2675
12800.0000,34.3217,286.4344, 172.5583, 195.5795, 163.6807
12900.0000,34.1312,282.6235, 172.8448, 195.4403, 164.0889
13000.0000,33.9006,278.0125, 173.1104, 195.1531, 164.4921
13100.0000,33.6881,273.7623, 173.3501, 194.7290, 164.8901
13200.0000,33.7143,274.2851, 173.5830, 194.4853, 165.2831
13300.0000,33.7821,275.6429, 173.8238, 194.4240, 165.6709
13400.0000,33.9838,279.6756, 174.0830, 194.6094, 166.0533
13500.0000,34.2316,284.6320, 174.3736, 195.0799, 166.4299
13600.0000,34.2675,285.3497, 174.6839, 195.5349, 166.8006
13700.0000,34.3237,286.4737, 174.9996, 195.9337, 167.1652
13800.0000,34.5143,290.2850, 175.3279, 196.4545, 167.5239
13900.0000,34.7334,294.6688, 175.6810, 197.1670, 167.8771
14000.0000,34.6470,292.9404, 176.0441, 197.7338, 168.2257
14100.0000,34.3071,286.1414, 176.3794, 197.8339, 168.5703
14200.0000,34.1040,282.0793, 176.6787, 197.7053, 168.9120
14300.0000,34.0296,280.5919, 176.9592, 197.6039, 169.2516
14400.0000,33.9914,279.8277, 177.2331, 197.5769, 169.5899
